,acceptability_5
0,3526
1,284
2,201
3,123
4,98
5,67
6,59
7,66
8,73
9,111
10,89
11,96
12,98
13,89
14,132
15,133
16,150
17,152
18,175
19,164
20,164
21,143
22,193
23,208
24,163
25,190
26,142
27,143
28,128
29,111
30,127
31,109
32,96
33,112
34,102
35,95
36,104
37,107
38,82
39,62
40,83
41,59
42,65
43,37
44,45
45,28
46,35
47,29
48,30
49,43
50,65
51,27
52,19
53,25
54,24
55,35
56,28
57,41
58,56
59,50
60,60
61,66
62,70
63,95
64,81
65,78
66,66
67,93
68,90
69,73
70,100
71,82
72,115
73,112
74,120
75,142
76,113
77,137
78,105
79,114
80,108
81,111
82,90
83,97
84,90
85,73
86,90
87,63
88,71
89,66
90,58
91,43
92,38
93,34
94,35
95,26
96,32
97,51
98,103
99,168
100,2770
