acceptability_1;confidence_1;distress_1;acceptability_2;confidence_2;distress_2;acceptability_3;confidence_3;distress_3;acceptability_4;confidence_4;distress_4;acceptability_5;confidence_5;distress_5;acceptability_6;confidence_6;distress_6;acceptability_7;confidence_7;distress_7;scenarios_order;condition;1_oxford_1;1_oxford_2;1_oxford_3;1_oxford_4;1_oxford_5;1_oxford_6;1_oxford_7;1_oxford_8;1_oxford_9;oxford_order;age;gender;country;covid;openness;conscientiousness;extraversion;agreeableness;neuroticism;timestamp
25;31;100;100;89;100;21;80;100;100;79;100;76;76;100;-999;-999;-999;0;100;100;715243;1;1;1;5;1;5;1;5;1;1;972163548;44;1;11;-999;;;;;;04/05/2020 14:46
70;77;100;85;74;61;85;81;65;76;82;94;26;73;58;69;66;100;-999;-999;-999;241356;4;4;4;4;4;4;4;4;4;4;391624875;21;2;11;-999;45;27;21;32;29;06/05/2020 16:22
33;67;100;84;59;34;91;73;100;71;62;100;27;46;100;-999;-999;-999;74;75;98;732415;1;3;3;6;4;5;4;5;3;5;341527869;29;1;11;-999;38;36;15;35;20;06/05/2020 21:13
0;100;75;100;68;100;75;66;100;67;39;100;57;27;100;-999;-999;-999;0;100;100;752134;1;4;5;7;5;7;1;2;2;5;724615893;28;1;11;-999;37;31;36;37;26;06/05/2020 21:14
0;100;0;100;100;0;0;100;0;56;25;100;79;100;100;-999;-999;-999;50;0;100;542317;3;1;1;1;1;1;1;2;1;5;859234617;29;1;11;-999;49;32;25;31;31;06/05/2020 21:15
82;76;100;75;18;100;21;77;100;0;34;100;24;73;24;73;30;100;-999;-999;-999;651432;2;1;3;2;1;2;4;6;3;6;523614978;54;1;11;-999;34;28;29;31;24;06/05/2020 21:20
90;91;100;25;82;17;83;74;85;90;84;23;0;100;0;-999;-999;-999;74;33;99;732541;1;1;2;6;6;4;5;3;4;6;392451687;38;1;11;-999;40;37;25;27;22;06/05/2020 21:21
61;56;100;100;100;0;100;100;73;62;36;100;0;80;93;68;34;100;-999;-999;-999;621435;2;6;3;5;1;5;5;5;4;5;726981543;32;2;11;-999;40;35;15;31;21;06/05/2020 21:29
73;29;83;49;12;100;64;28;78;100;76;100;77;48;72;100;34;100;-999;-999;-999;614253;2;5;6;7;3;4;4;6;4;6;497328615;24;2;11;3;;;;;;06/05/2020 21:29
13;69;75;20;44;55;88;75;37;90;68;100;6;85;30;-999;-999;-999;85;78;70;124357;3;2;4;7;1;3;3;5;3;2;915762483;41;2;11;-999;34;36;14;33;23;06/05/2020 21:30
72;13;96;72;39;86;93;90;39;87;86;5;22;80;36;87;82;76;-999;-999;-999;213546;4;3;3;2;2;6;1;5;1;3;914235786;29;2;11;-999;37;23;29;34;22;06/05/2020 21:31
23;75;80;39;38;79;36;36;96;72;72;81;30;66;87;-999;-999;-999;51;29;100;754231;1;3;4;6;6;5;1;4;1;2;782516439;59;1;11;3;40;30;33;34;26;06/05/2020 21:31
16;66;80;29;54;78;19;73;84;76;77;69;47;44;74;-999;-999;-999;25;70;96;735214;1;4;4;6;5;6;2;4;1;1;914523687;57;1;11;-999;34;29;22;42;26;06/05/2020 21:32
32;61;14;0;100;0;32;77;29;100;100;100;59;37;10;0;100;100;-999;-999;-999;152436;4;3;1;4;1;2;2;3;5;4;329451876;20;2;11;-999;30;30;23;39;22;06/05/2020 21:33
72;19;100;1;0;0;72;66;0;100;100;100;0;100;100;100;1;100;-999;-999;-999;623415;2;3;5;5;6;5;3;2;2;5;498237165;24;1;11;-999;37;31;18;28;39;06/05/2020 21:33
77;20;100;12;74;20;100;74;100;59;12;100;0;76;29;84;60;100;-999;-999;-999;652413;2;3;3;7;3;3;1;1;1;4;586432719;24;1;11;-999;37;36;35;38;22;06/05/2020 21:33
63;10;100;86;76;14;70;36;95;74;29;100;10;78;16;-999;-999;-999;16;73;22;324157;3;2;2;3;2;2;3;1;2;3;314925768;29;1;11;-999;31;23;27;34;22;06/05/2020 21:33
36;69;67;100;73;2;65;41;35;100;77;66;21;32;100;100;100;60;-999;-999;-999;652431;2;4;4;3;5;5;4;3;4;5;972348156;31;2;11;3;;;;;;06/05/2020 21:34
59;59;100;46;42;100;95;90;97;77;61;100;43;56;100;-999;-999;-999;77;99;100;735421;1;5;6;7;7;7;5;5;5;4;315926478;28;1;11;-999;40;28;22;33;33;06/05/2020 21:35
57;12;100;43;29;91;58;34;82;68;46;87;0;96;100;100;76;100;-999;-999;-999;623451;2;5;5;5;2;5;4;5;2;5;847265931;24;1;11;3;33;26;21;27;26;06/05/2020 21:36
96;97;96;5;26;35;100;98;96;97;99;99;4;95;81;-999;-999;-999;1;99;77;125437;3;2;4;3;6;3;3;6;3;3;259473861;60;2;11;-999;42;41;24;36;18;06/05/2020 21:41
89;100;14;82;100;0;26;100;11;0;100;0;5;100;11;100;100;0;-999;-999;-999;154326;4;4;1;1;2;2;1;6;1;5;415728963;22;2;11;-999;26;25;35;30;25;06/05/2020 21:42
76;51;98;72;73;60;100;100;75;28;50;100;97;76;100;-999;-999;-999;21;61;100;413527;3;4;4;2;7;6;2;1;1;1;498721563;34;1;11;-999;;;;;;06/05/2020 21:43
29;68;100;38;59;79;100;100;60;100;80;100;60;30;100;68;51;81;-999;-999;-999;635214;2;6;6;7;7;6;6;6;5;5;847532961;23;1;11;3;33;26;34;43;15;06/05/2020 21:43
12;87;30;12;83;66;13;84;29;77;25;77;24;60;66;14;25;100;-999;-999;-999;621453;2;4;5;6;3;6;1;6;1;1;375489612;67;1;11;-999;36;36;32;36;11;06/05/2020 21:43
100;29;100;0;63;72;100;100;22;100;100;100;100;77;0;100;63;100;-999;-999;-999;635124;2;2;4;7;3;7;3;2;2;2;163985724;31;1;11;-999;;;;;;06/05/2020 21:44
75;86;99;100;100;0;83;37;13;0;99;0;75;58;69;100;100;100;-999;-999;-999;125346;4;1;6;3;1;2;1;1;6;5;689517324;23;2;11;-999;38;35;17;39;25;06/05/2020 21:44
100;79;100;0;76;26;22;100;25;100;100;14;100;100;99;-999;-999;-999;0;100;100;754213;1;4;1;6;4;4;1;5;1;1;593684172;34;1;11;-999;34;33;17;23;26;06/05/2020 21:45
15;92;16;75;75;19;25;100;0;0;100;0;0;100;0;-999;-999;-999;0;100;0;354217;3;1;1;1;1;1;4;1;4;7;293547861;22;2;11;-999;;;;;;06/05/2020 21:47
27;72;100;100;100;30;70;66;100;68;62;100;100;100;0;-999;-999;-999;0;100;100;735421;1;2;5;7;7;5;1;3;1;5;934127586;23;1;11;-999;43;23;38;34;38;06/05/2020 21:48
