,ib,ih,x,y
0,5,4,0.0,0.0
1,5,5,0.0,4.17
2,5,6,0.0,8.33
3,5,7,0.0,12.5
4,5,8,0.0,16.67
5,5,9,0.0,20.83
6,5,10,0.0,25.0
7,5,11,0.0,29.17
8,5,12,0.0,33.33
9,5,13,0.0,37.5
10,5,14,0.0,41.67
11,5,15,0.0,45.83
12,5,16,0.0,50.0
13,5,17,0.0,54.17
14,5,18,0.0,58.33
15,5,19,0.0,62.5
16,5,20,0.0,66.67
17,5,21,0.0,70.83
18,5,22,0.0,75.0
19,5,23,0.0,79.17
20,5,24,0.0,83.33
21,5,25,0.0,87.5
22,5,26,0.0,91.67
23,5,27,0.0,95.83
24,5,28,0.0,100.0
25,6,4,3.33,0.0
26,6,5,3.33,4.17
27,6,6,3.33,8.33
28,6,7,3.33,12.5
29,6,8,3.33,16.67
30,6,9,3.33,20.83
31,6,10,3.33,25.0
32,6,11,3.33,29.17
33,6,12,3.33,33.33
34,6,13,3.33,37.5
35,6,14,3.33,41.67
36,6,15,3.33,45.83
37,6,16,3.33,50.0
38,6,17,3.33,54.17
39,6,18,3.33,58.33
40,6,19,3.33,62.5
41,6,20,3.33,66.67
42,6,21,3.33,70.83
43,6,22,3.33,75.0
44,6,23,3.33,79.17
45,6,24,3.33,83.33
46,6,25,3.33,87.5
47,6,26,3.33,91.67
48,6,27,3.33,95.83
49,6,28,3.33,100.0
50,7,4,6.67,0.0
51,7,5,6.67,4.17
52,7,6,6.67,8.33
53,7,7,6.67,12.5
54,7,8,6.67,16.67
55,7,9,6.67,20.83
56,7,10,6.67,25.0
57,7,11,6.67,29.17
58,7,12,6.67,33.33
59,7,13,6.67,37.5
60,7,14,6.67,41.67
61,7,15,6.67,45.83
62,7,16,6.67,50.0
63,7,17,6.67,54.17
64,7,18,6.67,58.33
65,7,19,6.67,62.5
66,7,20,6.67,66.67
67,7,21,6.67,70.83
68,7,22,6.67,75.0
69,7,23,6.67,79.17
70,7,24,6.67,83.33
71,7,25,6.67,87.5
72,7,26,6.67,91.67
73,7,27,6.67,95.83
74,7,28,6.67,100.0
75,8,4,10.0,0.0
76,8,5,10.0,4.17
77,8,6,10.0,8.33
78,8,7,10.0,12.5
79,8,8,10.0,16.67
80,8,9,10.0,20.83
81,8,10,10.0,25.0
82,8,11,10.0,29.17
83,8,12,10.0,33.33
84,8,13,10.0,37.5
85,8,14,10.0,41.67
86,8,15,10.0,45.83
87,8,16,10.0,50.0
88,8,17,10.0,54.17
89,8,18,10.0,58.33
90,8,19,10.0,62.5
91,8,20,10.0,66.67
92,8,21,10.0,70.83
93,8,22,10.0,75.0
94,8,23,10.0,79.17
95,8,24,10.0,83.33
96,8,25,10.0,87.5
97,8,26,10.0,91.67
98,8,27,10.0,95.83
99,8,28,10.0,100.0
100,9,4,13.33,0.0
101,9,5,13.33,4.17
102,9,6,13.33,8.33
103,9,7,13.33,12.5
104,9,8,13.33,16.67
105,9,9,13.33,20.83
106,9,10,13.33,25.0
107,9,11,13.33,29.17
108,9,12,13.33,33.33
109,9,13,13.33,37.5
110,9,14,13.33,41.67
111,9,15,13.33,45.83
112,9,16,13.33,50.0
113,9,17,13.33,54.17
114,9,18,13.33,58.33
115,9,19,13.33,62.5
116,9,20,13.33,66.67
117,9,21,13.33,70.83
118,9,22,13.33,75.0
119,9,23,13.33,79.17
120,9,24,13.33,83.33
121,9,25,13.33,87.5
122,9,26,13.33,91.67
123,9,27,13.33,95.83
124,9,28,13.33,100.0
125,10,4,16.67,0.0
126,10,5,16.67,4.17
127,10,6,16.67,8.33
128,10,7,16.67,12.5
129,10,8,16.67,16.67
130,10,9,16.67,20.83
131,10,10,16.67,25.0
132,10,11,16.67,29.17
133,10,12,16.67,33.33
134,10,13,16.67,37.5
135,10,14,16.67,41.67
136,10,15,16.67,45.83
137,10,16,16.67,50.0
138,10,17,16.67,54.17
139,10,18,16.67,58.33
140,10,19,16.67,62.5
141,10,20,16.67,66.67
142,10,21,16.67,70.83
143,10,22,16.67,75.0
144,10,23,16.67,79.17
145,10,24,16.67,83.33
146,10,25,16.67,87.5
147,10,26,16.67,91.67
148,10,27,16.67,95.83
149,10,28,16.67,100.0
150,11,4,20.0,0.0
151,11,5,20.0,4.17
152,11,6,20.0,8.33
153,11,7,20.0,12.5
154,11,8,20.0,16.67
155,11,9,20.0,20.83
156,11,10,20.0,25.0
157,11,11,20.0,29.17
158,11,12,20.0,33.33
159,11,13,20.0,37.5
160,11,14,20.0,41.67
161,11,15,20.0,45.83
162,11,16,20.0,50.0
163,11,17,20.0,54.17
164,11,18,20.0,58.33
165,11,19,20.0,62.5
166,11,20,20.0,66.67
167,11,21,20.0,70.83
168,11,22,20.0,75.0
169,11,23,20.0,79.17
170,11,24,20.0,83.33
171,11,25,20.0,87.5
172,11,26,20.0,91.67
173,11,27,20.0,95.83
174,11,28,20.0,100.0
175,12,4,23.33,0.0
176,12,5,23.33,4.17
177,12,6,23.33,8.33
178,12,7,23.33,12.5
179,12,8,23.33,16.67
180,12,9,23.33,20.83
181,12,10,23.33,25.0
182,12,11,23.33,29.17
183,12,12,23.33,33.33
184,12,13,23.33,37.5
185,12,14,23.33,41.67
186,12,15,23.33,45.83
187,12,16,23.33,50.0
188,12,17,23.33,54.17
189,12,18,23.33,58.33
190,12,19,23.33,62.5
191,12,20,23.33,66.67
192,12,21,23.33,70.83
193,12,22,23.33,75.0
194,12,23,23.33,79.17
195,12,24,23.33,83.33
196,12,25,23.33,87.5
197,12,26,23.33,91.67
198,12,27,23.33,95.83
199,12,28,23.33,100.0
200,13,4,26.67,0.0
201,13,5,26.67,4.17
202,13,6,26.67,8.33
203,13,7,26.67,12.5
204,13,8,26.67,16.67
205,13,9,26.67,20.83
206,13,10,26.67,25.0
207,13,11,26.67,29.17
208,13,12,26.67,33.33
209,13,13,26.67,37.5
210,13,14,26.67,41.67
211,13,15,26.67,45.83
212,13,16,26.67,50.0
213,13,17,26.67,54.17
214,13,18,26.67,58.33
215,13,19,26.67,62.5
216,13,20,26.67,66.67
217,13,21,26.67,70.83
218,13,22,26.67,75.0
219,13,23,26.67,79.17
220,13,24,26.67,83.33
221,13,25,26.67,87.5
222,13,26,26.67,91.67
223,13,27,26.67,95.83
224,13,28,26.67,100.0
225,14,4,30.0,0.0
226,14,5,30.0,4.17
227,14,6,30.0,8.33
228,14,7,30.0,12.5
229,14,8,30.0,16.67
230,14,9,30.0,20.83
231,14,10,30.0,25.0
232,14,11,30.0,29.17
233,14,12,30.0,33.33
234,14,13,30.0,37.5
235,14,14,30.0,41.67
236,14,15,30.0,45.83
237,14,16,30.0,50.0
238,14,17,30.0,54.17
239,14,18,30.0,58.33
240,14,19,30.0,62.5
241,14,20,30.0,66.67
242,14,21,30.0,70.83
243,14,22,30.0,75.0
244,14,23,30.0,79.17
245,14,24,30.0,83.33
246,14,25,30.0,87.5
247,14,26,30.0,91.67
248,14,27,30.0,95.83
249,14,28,30.0,100.0
250,15,4,33.33,0.0
251,15,5,33.33,4.17
252,15,6,33.33,8.33
253,15,7,33.33,12.5
254,15,8,33.33,16.67
255,15,9,33.33,20.83
256,15,10,33.33,25.0
257,15,11,33.33,29.17
258,15,12,33.33,33.33
259,15,13,33.33,37.5
260,15,14,33.33,41.67
261,15,15,33.33,45.83
262,15,16,33.33,50.0
263,15,17,33.33,54.17
264,15,18,33.33,58.33
265,15,19,33.33,62.5
266,15,20,33.33,66.67
267,15,21,33.33,70.83
268,15,22,33.33,75.0
269,15,23,33.33,79.17
270,15,24,33.33,83.33
271,15,25,33.33,87.5
272,15,26,33.33,91.67
273,15,27,33.33,95.83
274,15,28,33.33,100.0
275,16,4,36.67,0.0
276,16,5,36.67,4.17
277,16,6,36.67,8.33
278,16,7,36.67,12.5
279,16,8,36.67,16.67
280,16,9,36.67,20.83
281,16,10,36.67,25.0
282,16,11,36.67,29.17
283,16,12,36.67,33.33
284,16,13,36.67,37.5
285,16,14,36.67,41.67
286,16,15,36.67,45.83
287,16,16,36.67,50.0
288,16,17,36.67,54.17
289,16,18,36.67,58.33
290,16,19,36.67,62.5
291,16,20,36.67,66.67
292,16,21,36.67,70.83
293,16,22,36.67,75.0
294,16,23,36.67,79.17
295,16,24,36.67,83.33
296,16,25,36.67,87.5
297,16,26,36.67,91.67
298,16,27,36.67,95.83
299,16,28,36.67,100.0
300,17,4,40.0,0.0
301,17,5,40.0,4.17
302,17,6,40.0,8.33
303,17,7,40.0,12.5
304,17,8,40.0,16.67
305,17,9,40.0,20.83
306,17,10,40.0,25.0
307,17,11,40.0,29.17
308,17,12,40.0,33.33
309,17,13,40.0,37.5
310,17,14,40.0,41.67
311,17,15,40.0,45.83
312,17,16,40.0,50.0
313,17,17,40.0,54.17
314,17,18,40.0,58.33
315,17,19,40.0,62.5
316,17,20,40.0,66.67
317,17,21,40.0,70.83
318,17,22,40.0,75.0
319,17,23,40.0,79.17
320,17,24,40.0,83.33
321,17,25,40.0,87.5
322,17,26,40.0,91.67
323,17,27,40.0,95.83
324,17,28,40.0,100.0
325,18,4,43.33,0.0
326,18,5,43.33,4.17
327,18,6,43.33,8.33
328,18,7,43.33,12.5
329,18,8,43.33,16.67
330,18,9,43.33,20.83
331,18,10,43.33,25.0
332,18,11,43.33,29.17
333,18,12,43.33,33.33
334,18,13,43.33,37.5
335,18,14,43.33,41.67
336,18,15,43.33,45.83
337,18,16,43.33,50.0
338,18,17,43.33,54.17
339,18,18,43.33,58.33
340,18,19,43.33,62.5
341,18,20,43.33,66.67
342,18,21,43.33,70.83
343,18,22,43.33,75.0
344,18,23,43.33,79.17
345,18,24,43.33,83.33
346,18,25,43.33,87.5
347,18,26,43.33,91.67
348,18,27,43.33,95.83
349,18,28,43.33,100.0
350,19,4,46.67,0.0
351,19,5,46.67,4.17
352,19,6,46.67,8.33
353,19,7,46.67,12.5
354,19,8,46.67,16.67
355,19,9,46.67,20.83
356,19,10,46.67,25.0
357,19,11,46.67,29.17
358,19,12,46.67,33.33
359,19,13,46.67,37.5
360,19,14,46.67,41.67
361,19,15,46.67,45.83
362,19,16,46.67,50.0
363,19,17,46.67,54.17
364,19,18,46.67,58.33
365,19,19,46.67,62.5
366,19,20,46.67,66.67
367,19,21,46.67,70.83
368,19,22,46.67,75.0
369,19,23,46.67,79.17
370,19,24,46.67,83.33
371,19,25,46.67,87.5
372,19,26,46.67,91.67
373,19,27,46.67,95.83
374,19,28,46.67,100.0
375,20,4,50.0,0.0
376,20,5,50.0,4.17
377,20,6,50.0,8.33
378,20,7,50.0,12.5
379,20,8,50.0,16.67
380,20,9,50.0,20.83
381,20,10,50.0,25.0
382,20,11,50.0,29.17
383,20,12,50.0,33.33
384,20,13,50.0,37.5
385,20,14,50.0,41.67
386,20,15,50.0,45.83
387,20,16,50.0,50.0
388,20,17,50.0,54.17
389,20,18,50.0,58.33
390,20,19,50.0,62.5
391,20,20,50.0,66.67
392,20,21,50.0,70.83
393,20,22,50.0,75.0
394,20,23,50.0,79.17
395,20,24,50.0,83.33
396,20,25,50.0,87.5
397,20,26,50.0,91.67
398,20,27,50.0,95.83
399,20,28,50.0,100.0
400,21,4,53.33,0.0
401,21,5,53.33,4.17
402,21,6,53.33,8.33
403,21,7,53.33,12.5
404,21,8,53.33,16.67
405,21,9,53.33,20.83
406,21,10,53.33,25.0
407,21,11,53.33,29.17
408,21,12,53.33,33.33
409,21,13,53.33,37.5
410,21,14,53.33,41.67
411,21,15,53.33,45.83
412,21,16,53.33,50.0
413,21,17,53.33,54.17
414,21,18,53.33,58.33
415,21,19,53.33,62.5
416,21,20,53.33,66.67
417,21,21,53.33,70.83
418,21,22,53.33,75.0
419,21,23,53.33,79.17
420,21,24,53.33,83.33
421,21,25,53.33,87.5
422,21,26,53.33,91.67
423,21,27,53.33,95.83
424,21,28,53.33,100.0
425,22,4,56.67,0.0
426,22,5,56.67,4.17
427,22,6,56.67,8.33
428,22,7,56.67,12.5
429,22,8,56.67,16.67
430,22,9,56.67,20.83
431,22,10,56.67,25.0
432,22,11,56.67,29.17
433,22,12,56.67,33.33
434,22,13,56.67,37.5
435,22,14,56.67,41.67
436,22,15,56.67,45.83
437,22,16,56.67,50.0
438,22,17,56.67,54.17
439,22,18,56.67,58.33
440,22,19,56.67,62.5
441,22,20,56.67,66.67
442,22,21,56.67,70.83
443,22,22,56.67,75.0
444,22,23,56.67,79.17
445,22,24,56.67,83.33
446,22,25,56.67,87.5
447,22,26,56.67,91.67
448,22,27,56.67,95.83
449,22,28,56.67,100.0
450,23,4,60.0,0.0
451,23,5,60.0,4.17
452,23,6,60.0,8.33
453,23,7,60.0,12.5
454,23,8,60.0,16.67
455,23,9,60.0,20.83
456,23,10,60.0,25.0
457,23,11,60.0,29.17
458,23,12,60.0,33.33
459,23,13,60.0,37.5
460,23,14,60.0,41.67
461,23,15,60.0,45.83
462,23,16,60.0,50.0
463,23,17,60.0,54.17
464,23,18,60.0,58.33
465,23,19,60.0,62.5
466,23,20,60.0,66.67
467,23,21,60.0,70.83
468,23,22,60.0,75.0
469,23,23,60.0,79.17
470,23,24,60.0,83.33
471,23,25,60.0,87.5
472,23,26,60.0,91.67
473,23,27,60.0,95.83
474,23,28,60.0,100.0
475,24,4,63.33,0.0
476,24,5,63.33,4.17
477,24,6,63.33,8.33
478,24,7,63.33,12.5
479,24,8,63.33,16.67
480,24,9,63.33,20.83
481,24,10,63.33,25.0
482,24,11,63.33,29.17
483,24,12,63.33,33.33
484,24,13,63.33,37.5
485,24,14,63.33,41.67
486,24,15,63.33,45.83
487,24,16,63.33,50.0
488,24,17,63.33,54.17
489,24,18,63.33,58.33
490,24,19,63.33,62.5
491,24,20,63.33,66.67
492,24,21,63.33,70.83
493,24,22,63.33,75.0
494,24,23,63.33,79.17
495,24,24,63.33,83.33
496,24,25,63.33,87.5
497,24,26,63.33,91.67
498,24,27,63.33,95.83
499,24,28,63.33,100.0
500,25,4,66.67,0.0
501,25,5,66.67,4.17
502,25,6,66.67,8.33
503,25,7,66.67,12.5
504,25,8,66.67,16.67
505,25,9,66.67,20.83
506,25,10,66.67,25.0
507,25,11,66.67,29.17
508,25,12,66.67,33.33
509,25,13,66.67,37.5
510,25,14,66.67,41.67
511,25,15,66.67,45.83
512,25,16,66.67,50.0
513,25,17,66.67,54.17
514,25,18,66.67,58.33
515,25,19,66.67,62.5
516,25,20,66.67,66.67
517,25,21,66.67,70.83
518,25,22,66.67,75.0
519,25,23,66.67,79.17
520,25,24,66.67,83.33
521,25,25,66.67,87.5
522,25,26,66.67,91.67
523,25,27,66.67,95.83
524,25,28,66.67,100.0
525,26,4,70.0,0.0
526,26,5,70.0,4.17
527,26,6,70.0,8.33
528,26,7,70.0,12.5
529,26,8,70.0,16.67
530,26,9,70.0,20.83
531,26,10,70.0,25.0
532,26,11,70.0,29.17
533,26,12,70.0,33.33
534,26,13,70.0,37.5
535,26,14,70.0,41.67
536,26,15,70.0,45.83
537,26,16,70.0,50.0
538,26,17,70.0,54.17
539,26,18,70.0,58.33
540,26,19,70.0,62.5
541,26,20,70.0,66.67
542,26,21,70.0,70.83
543,26,22,70.0,75.0
544,26,23,70.0,79.17
545,26,24,70.0,83.33
546,26,25,70.0,87.5
547,26,26,70.0,91.67
548,26,27,70.0,95.83
549,26,28,70.0,100.0
550,27,4,73.33,0.0
551,27,5,73.33,4.17
552,27,6,73.33,8.33
553,27,7,73.33,12.5
554,27,8,73.33,16.67
555,27,9,73.33,20.83
556,27,10,73.33,25.0
557,27,11,73.33,29.17
558,27,12,73.33,33.33
559,27,13,73.33,37.5
560,27,14,73.33,41.67
561,27,15,73.33,45.83
562,27,16,73.33,50.0
563,27,17,73.33,54.17
564,27,18,73.33,58.33
565,27,19,73.33,62.5
566,27,20,73.33,66.67
567,27,21,73.33,70.83
568,27,22,73.33,75.0
569,27,23,73.33,79.17
570,27,24,73.33,83.33
571,27,25,73.33,87.5
572,27,26,73.33,91.67
573,27,27,73.33,95.83
574,27,28,73.33,100.0
575,28,4,76.67,0.0
576,28,5,76.67,4.17
577,28,6,76.67,8.33
578,28,7,76.67,12.5
579,28,8,76.67,16.67
580,28,9,76.67,20.83
581,28,10,76.67,25.0
582,28,11,76.67,29.17
583,28,12,76.67,33.33
584,28,13,76.67,37.5
585,28,14,76.67,41.67
586,28,15,76.67,45.83
587,28,16,76.67,50.0
588,28,17,76.67,54.17
589,28,18,76.67,58.33
590,28,19,76.67,62.5
591,28,20,76.67,66.67
592,28,21,76.67,70.83
593,28,22,76.67,75.0
594,28,23,76.67,79.17
595,28,24,76.67,83.33
596,28,25,76.67,87.5
597,28,26,76.67,91.67
598,28,27,76.67,95.83
599,28,28,76.67,100.0
600,29,4,80.0,0.0
601,29,5,80.0,4.17
602,29,6,80.0,8.33
603,29,7,80.0,12.5
604,29,8,80.0,16.67
605,29,9,80.0,20.83
606,29,10,80.0,25.0
607,29,11,80.0,29.17
608,29,12,80.0,33.33
609,29,13,80.0,37.5
610,29,14,80.0,41.67
611,29,15,80.0,45.83
612,29,16,80.0,50.0
613,29,17,80.0,54.17
614,29,18,80.0,58.33
615,29,19,80.0,62.5
616,29,20,80.0,66.67
617,29,21,80.0,70.83
618,29,22,80.0,75.0
619,29,23,80.0,79.17
620,29,24,80.0,83.33
621,29,25,80.0,87.5
622,29,26,80.0,91.67
623,29,27,80.0,95.83
624,29,28,80.0,100.0
625,30,4,83.33,0.0
626,30,5,83.33,4.17
627,30,6,83.33,8.33
628,30,7,83.33,12.5
629,30,8,83.33,16.67
630,30,9,83.33,20.83
631,30,10,83.33,25.0
632,30,11,83.33,29.17
633,30,12,83.33,33.33
634,30,13,83.33,37.5
635,30,14,83.33,41.67
636,30,15,83.33,45.83
637,30,16,83.33,50.0
638,30,17,83.33,54.17
639,30,18,83.33,58.33
640,30,19,83.33,62.5
641,30,20,83.33,66.67
642,30,21,83.33,70.83
643,30,22,83.33,75.0
644,30,23,83.33,79.17
645,30,24,83.33,83.33
646,30,25,83.33,87.5
647,30,26,83.33,91.67
648,30,27,83.33,95.83
649,30,28,83.33,100.0
650,31,4,86.67,0.0
651,31,5,86.67,4.17
652,31,6,86.67,8.33
653,31,7,86.67,12.5
654,31,8,86.67,16.67
655,31,9,86.67,20.83
656,31,10,86.67,25.0
657,31,11,86.67,29.17
658,31,12,86.67,33.33
659,31,13,86.67,37.5
660,31,14,86.67,41.67
661,31,15,86.67,45.83
662,31,16,86.67,50.0
663,31,17,86.67,54.17
664,31,18,86.67,58.33
665,31,19,86.67,62.5
666,31,20,86.67,66.67
667,31,21,86.67,70.83
668,31,22,86.67,75.0
669,31,23,86.67,79.17
670,31,24,86.67,83.33
671,31,25,86.67,87.5
672,31,26,86.67,91.67
673,31,27,86.67,95.83
674,31,28,86.67,100.0
675,32,4,90.0,0.0
676,32,5,90.0,4.17
677,32,6,90.0,8.33
678,32,7,90.0,12.5
679,32,8,90.0,16.67
680,32,9,90.0,20.83
681,32,10,90.0,25.0
682,32,11,90.0,29.17
683,32,12,90.0,33.33
684,32,13,90.0,37.5
685,32,14,90.0,41.67
686,32,15,90.0,45.83
687,32,16,90.0,50.0
688,32,17,90.0,54.17
689,32,18,90.0,58.33
690,32,19,90.0,62.5
691,32,20,90.0,66.67
692,32,21,90.0,70.83
693,32,22,90.0,75.0
694,32,23,90.0,79.17
695,32,24,90.0,83.33
696,32,25,90.0,87.5
697,32,26,90.0,91.67
698,32,27,90.0,95.83
699,32,28,90.0,100.0
700,33,4,93.33,0.0
701,33,5,93.33,4.17
702,33,6,93.33,8.33
703,33,7,93.33,12.5
704,33,8,93.33,16.67
705,33,9,93.33,20.83
706,33,10,93.33,25.0
707,33,11,93.33,29.17
708,33,12,93.33,33.33
709,33,13,93.33,37.5
710,33,14,93.33,41.67
711,33,15,93.33,45.83
712,33,16,93.33,50.0
713,33,17,93.33,54.17
714,33,18,93.33,58.33
