,ib,ih,x,y
0,5,4,0.0,0.0
1,5,5,0.0,4.17
2,5,6,0.0,8.33
3,5,7,0.0,12.5
4,5,8,0.0,16.67
5,5,9,0.0,20.83
6,5,10,0.0,25.0
7,5,11,0.0,29.17
8,5,12,0.0,33.33
9,5,13,0.0,37.5
10,5,14,0.0,41.67
11,5,15,0.0,45.83
12,5,16,0.0,50.0
13,5,17,0.0,54.17
14,5,18,0.0,58.33
15,5,19,0.0,62.5
16,5,20,0.0,66.67
17,5,21,0.0,70.83
18,5,22,0.0,75.0
19,5,23,0.0,79.17
20,5,24,0.0,83.33
21,5,25,0.0,87.5
22,5,26,0.0,91.67
23,5,27,0.0,95.83
24,6,4,3.33,0.0
25,6,5,3.33,4.17
26,6,6,3.33,8.33
27,6,7,3.33,12.5
28,6,8,3.33,16.67
29,6,9,3.33,20.83
30,6,10,3.33,25.0
31,6,11,3.33,29.17
32,6,12,3.33,33.33
33,6,13,3.33,37.5
34,6,14,3.33,41.67
35,6,15,3.33,45.83
36,6,16,3.33,50.0
37,6,17,3.33,54.17
38,6,18,3.33,58.33
39,6,19,3.33,62.5
40,6,20,3.33,66.67
41,6,21,3.33,70.83
42,6,22,3.33,75.0
43,6,23,3.33,79.17
44,6,24,3.33,83.33
45,6,25,3.33,87.5
46,6,26,3.33,91.67
47,6,27,3.33,95.83
48,7,4,6.67,0.0
49,7,5,6.67,4.17
50,7,6,6.67,8.33
51,7,7,6.67,12.5
52,7,8,6.67,16.67
53,7,9,6.67,20.83
54,7,10,6.67,25.0
55,7,11,6.67,29.17
56,7,12,6.67,33.33
57,7,13,6.67,37.5
58,7,14,6.67,41.67
59,7,15,6.67,45.83
60,7,16,6.67,50.0
61,7,17,6.67,54.17
62,7,18,6.67,58.33
63,7,19,6.67,62.5
64,7,20,6.67,66.67
65,7,21,6.67,70.83
66,7,22,6.67,75.0
67,7,23,6.67,79.17
68,7,24,6.67,83.33
69,7,25,6.67,87.5
70,7,26,6.67,91.67
71,7,27,6.67,95.83
72,8,4,10.0,0.0
73,8,5,10.0,4.17
74,8,6,10.0,8.33
75,8,7,10.0,12.5
76,8,8,10.0,16.67
77,8,9,10.0,20.83
78,8,10,10.0,25.0
79,8,11,10.0,29.17
80,8,12,10.0,33.33
81,8,13,10.0,37.5
82,8,14,10.0,41.67
83,8,15,10.0,45.83
84,8,16,10.0,50.0
85,8,17,10.0,54.17
86,8,18,10.0,58.33
87,8,19,10.0,62.5
88,8,20,10.0,66.67
89,8,21,10.0,70.83
90,8,22,10.0,75.0
91,8,23,10.0,79.17
92,8,24,10.0,83.33
93,8,25,10.0,87.5
94,8,26,10.0,91.67
95,8,27,10.0,95.83
96,9,4,13.33,0.0
97,9,5,13.33,4.17
98,9,6,13.33,8.33
99,9,7,13.33,12.5
100,9,8,13.33,16.67
101,9,9,13.33,20.83
102,9,10,13.33,25.0
103,9,11,13.33,29.17
104,9,12,13.33,33.33
105,9,13,13.33,37.5
106,9,14,13.33,41.67
107,9,15,13.33,45.83
108,9,16,13.33,50.0
109,9,17,13.33,54.17
110,9,18,13.33,58.33
111,9,19,13.33,62.5
112,9,20,13.33,66.67
113,9,21,13.33,70.83
114,9,22,13.33,75.0
115,9,23,13.33,79.17
116,9,24,13.33,83.33
117,9,25,13.33,87.5
118,9,26,13.33,91.67
119,9,27,13.33,95.83
120,10,4,16.67,0.0
121,10,5,16.67,4.17
122,10,6,16.67,8.33
123,10,7,16.67,12.5
124,10,8,16.67,16.67
125,10,9,16.67,20.83
126,10,10,16.67,25.0
127,10,11,16.67,29.17
128,10,12,16.67,33.33
129,10,13,16.67,37.5
130,10,14,16.67,41.67
131,10,15,16.67,45.83
132,10,16,16.67,50.0
133,10,17,16.67,54.17
134,10,18,16.67,58.33
135,10,19,16.67,62.5
136,10,20,16.67,66.67
137,10,21,16.67,70.83
138,10,22,16.67,75.0
139,10,23,16.67,79.17
140,10,24,16.67,83.33
141,10,25,16.67,87.5
142,10,26,16.67,91.67
143,10,27,16.67,95.83
144,11,4,20.0,0.0
145,11,5,20.0,4.17
146,11,6,20.0,8.33
147,11,7,20.0,12.5
148,11,8,20.0,16.67
149,11,9,20.0,20.83
150,11,10,20.0,25.0
151,11,11,20.0,29.17
152,11,12,20.0,33.33
153,11,13,20.0,37.5
154,11,14,20.0,41.67
155,11,15,20.0,45.83
156,11,16,20.0,50.0
157,11,17,20.0,54.17
158,11,18,20.0,58.33
159,11,19,20.0,62.5
160,11,20,20.0,66.67
161,11,21,20.0,70.83
162,11,22,20.0,75.0
163,11,23,20.0,79.17
164,11,24,20.0,83.33
165,11,25,20.0,87.5
166,11,26,20.0,91.67
167,11,27,20.0,95.83
168,12,4,23.33,0.0
169,12,5,23.33,4.17
170,12,6,23.33,8.33
171,12,7,23.33,12.5
172,12,8,23.33,16.67
173,12,9,23.33,20.83
174,12,10,23.33,25.0
175,12,11,23.33,29.17
176,12,12,23.33,33.33
177,12,13,23.33,37.5
178,12,14,23.33,41.67
179,12,15,23.33,45.83
180,12,16,23.33,50.0
181,12,17,23.33,54.17
182,12,18,23.33,58.33
183,12,19,23.33,62.5
184,12,20,23.33,66.67
185,12,21,23.33,70.83
186,12,22,23.33,75.0
187,12,23,23.33,79.17
188,12,24,23.33,83.33
189,12,25,23.33,87.5
190,12,26,23.33,91.67
191,12,27,23.33,95.83
192,13,4,26.67,0.0
193,13,5,26.67,4.17
194,13,6,26.67,8.33
195,13,7,26.67,12.5
196,13,8,26.67,16.67
197,13,9,26.67,20.83
198,13,10,26.67,25.0
199,13,11,26.67,29.17
200,13,12,26.67,33.33
201,13,13,26.67,37.5
202,13,14,26.67,41.67
203,13,15,26.67,45.83
204,13,16,26.67,50.0
205,13,17,26.67,54.17
206,13,18,26.67,58.33
207,13,19,26.67,62.5
208,13,20,26.67,66.67
209,13,21,26.67,70.83
210,13,22,26.67,75.0
211,13,23,26.67,79.17
212,13,24,26.67,83.33
213,13,25,26.67,87.5
214,13,26,26.67,91.67
215,13,27,26.67,95.83
216,14,4,30.0,0.0
217,14,5,30.0,4.17
218,14,6,30.0,8.33
219,14,7,30.0,12.5
220,14,8,30.0,16.67
221,14,9,30.0,20.83
222,14,10,30.0,25.0
223,14,11,30.0,29.17
224,14,12,30.0,33.33
225,14,13,30.0,37.5
226,14,14,30.0,41.67
227,14,15,30.0,45.83
228,14,16,30.0,50.0
229,14,17,30.0,54.17
230,14,18,30.0,58.33
231,14,19,30.0,62.5
232,14,20,30.0,66.67
233,14,21,30.0,70.83
234,14,22,30.0,75.0
235,14,23,30.0,79.17
236,14,24,30.0,83.33
237,14,25,30.0,87.5
238,14,26,30.0,91.67
239,14,27,30.0,95.83
240,15,4,33.33,0.0
241,15,5,33.33,4.17
242,15,6,33.33,8.33
243,15,7,33.33,12.5
244,15,8,33.33,16.67
245,15,9,33.33,20.83
246,15,10,33.33,25.0
247,15,11,33.33,29.17
248,15,12,33.33,33.33
249,15,13,33.33,37.5
250,15,14,33.33,41.67
251,15,15,33.33,45.83
252,15,16,33.33,50.0
253,15,17,33.33,54.17
254,15,18,33.33,58.33
255,15,19,33.33,62.5
256,15,20,33.33,66.67
257,15,21,33.33,70.83
258,15,22,33.33,75.0
259,15,23,33.33,79.17
260,15,24,33.33,83.33
261,15,25,33.33,87.5
262,15,26,33.33,91.67
263,15,27,33.33,95.83
264,16,4,36.67,0.0
265,16,5,36.67,4.17
266,16,6,36.67,8.33
267,16,7,36.67,12.5
268,16,8,36.67,16.67
269,16,9,36.67,20.83
270,16,10,36.67,25.0
271,16,11,36.67,29.17
272,16,12,36.67,33.33
273,16,13,36.67,37.5
274,16,14,36.67,41.67
275,16,15,36.67,45.83
276,16,16,36.67,50.0
277,16,17,36.67,54.17
278,16,18,36.67,58.33
279,16,19,36.67,62.5
280,16,20,36.67,66.67
281,16,21,36.67,70.83
282,16,22,36.67,75.0
283,16,23,36.67,79.17
284,16,24,36.67,83.33
285,16,25,36.67,87.5
286,16,26,36.67,91.67
287,16,27,36.67,95.83
288,17,4,40.0,0.0
289,17,5,40.0,4.17
290,17,6,40.0,8.33
291,17,7,40.0,12.5
292,17,8,40.0,16.67
293,17,9,40.0,20.83
294,17,10,40.0,25.0
295,17,11,40.0,29.17
296,17,12,40.0,33.33
297,17,13,40.0,37.5
298,17,14,40.0,41.67
299,17,15,40.0,45.83
300,17,16,40.0,50.0
301,17,17,40.0,54.17
302,17,18,40.0,58.33
303,17,19,40.0,62.5
304,17,20,40.0,66.67
305,17,21,40.0,70.83
306,17,22,40.0,75.0
307,17,23,40.0,79.17
308,17,24,40.0,83.33
309,17,25,40.0,87.5
310,17,26,40.0,91.67
311,17,27,40.0,95.83
312,18,4,43.33,0.0
313,18,5,43.33,4.17
314,18,6,43.33,8.33
315,18,7,43.33,12.5
316,18,8,43.33,16.67
317,18,9,43.33,20.83
318,18,10,43.33,25.0
319,18,11,43.33,29.17
320,18,12,43.33,33.33
321,18,13,43.33,37.5
322,18,14,43.33,41.67
323,18,15,43.33,45.83
324,18,16,43.33,50.0
325,18,17,43.33,54.17
326,18,18,43.33,58.33
327,18,19,43.33,62.5
328,18,20,43.33,66.67
329,18,21,43.33,70.83
330,18,22,43.33,75.0
331,18,23,43.33,79.17
332,18,24,43.33,83.33
333,18,25,43.33,87.5
334,18,26,43.33,91.67
335,18,27,43.33,95.83
336,19,4,46.67,0.0
337,19,5,46.67,4.17
338,19,6,46.67,8.33
339,19,7,46.67,12.5
340,19,8,46.67,16.67
341,19,9,46.67,20.83
342,19,10,46.67,25.0
343,19,11,46.67,29.17
344,19,12,46.67,33.33
345,19,13,46.67,37.5
346,19,14,46.67,41.67
347,19,15,46.67,45.83
348,19,16,46.67,50.0
349,19,17,46.67,54.17
350,19,18,46.67,58.33
351,19,19,46.67,62.5
352,19,20,46.67,66.67
353,19,21,46.67,70.83
354,19,22,46.67,75.0
355,19,23,46.67,79.17
356,19,24,46.67,83.33
357,19,25,46.67,87.5
358,19,26,46.67,91.67
359,19,27,46.67,95.83
360,20,4,50.0,0.0
361,20,5,50.0,4.17
362,20,6,50.0,8.33
363,20,7,50.0,12.5
364,20,8,50.0,16.67
365,20,9,50.0,20.83
366,20,10,50.0,25.0
367,20,11,50.0,29.17
368,20,12,50.0,33.33
369,20,13,50.0,37.5
370,20,14,50.0,41.67
371,20,15,50.0,45.83
372,20,16,50.0,50.0
373,20,17,50.0,54.17
374,20,18,50.0,58.33
375,20,19,50.0,62.5
376,20,20,50.0,66.67
377,20,21,50.0,70.83
378,20,22,50.0,75.0
379,20,23,50.0,79.17
380,20,24,50.0,83.33
381,20,25,50.0,87.5
382,20,26,50.0,91.67
383,20,27,50.0,95.83
384,21,4,53.33,0.0
385,21,5,53.33,4.17
386,21,6,53.33,8.33
387,21,7,53.33,12.5
388,21,8,53.33,16.67
389,21,9,53.33,20.83
390,21,10,53.33,25.0
391,21,11,53.33,29.17
392,21,12,53.33,33.33
393,21,13,53.33,37.5
394,21,14,53.33,41.67
395,21,15,53.33,45.83
396,21,16,53.33,50.0
397,21,17,53.33,54.17
398,21,18,53.33,58.33
399,21,19,53.33,62.5
400,21,20,53.33,66.67
401,21,21,53.33,70.83
402,21,22,53.33,75.0
403,21,23,53.33,79.17
404,21,24,53.33,83.33
405,21,25,53.33,87.5
406,21,26,53.33,91.67
407,21,27,53.33,95.83
408,22,4,56.67,0.0
409,22,5,56.67,4.17
410,22,6,56.67,8.33
411,22,7,56.67,12.5
412,22,8,56.67,16.67
413,22,9,56.67,20.83
414,22,10,56.67,25.0
415,22,11,56.67,29.17
416,22,12,56.67,33.33
417,22,13,56.67,37.5
418,22,14,56.67,41.67
419,22,15,56.67,45.83
420,22,16,56.67,50.0
421,22,17,56.67,54.17
422,22,18,56.67,58.33
423,22,19,56.67,62.5
424,22,20,56.67,66.67
425,22,21,56.67,70.83
426,22,22,56.67,75.0
427,22,23,56.67,79.17
428,22,24,56.67,83.33
429,22,25,56.67,87.5
430,22,26,56.67,91.67
431,22,27,56.67,95.83
432,23,4,60.0,0.0
433,23,5,60.0,4.17
434,23,6,60.0,8.33
435,23,7,60.0,12.5
436,23,8,60.0,16.67
437,23,9,60.0,20.83
438,23,10,60.0,25.0
439,23,11,60.0,29.17
440,23,12,60.0,33.33
441,23,13,60.0,37.5
442,23,14,60.0,41.67
443,23,15,60.0,45.83
444,23,16,60.0,50.0
445,23,17,60.0,54.17
446,23,18,60.0,58.33
447,23,19,60.0,62.5
448,23,20,60.0,66.67
449,23,21,60.0,70.83
450,23,22,60.0,75.0
451,23,23,60.0,79.17
452,23,24,60.0,83.33
453,23,25,60.0,87.5
454,23,26,60.0,91.67
455,23,27,60.0,95.83
456,24,4,63.33,0.0
457,24,5,63.33,4.17
458,24,6,63.33,8.33
459,24,7,63.33,12.5
460,24,8,63.33,16.67
461,24,9,63.33,20.83
462,24,10,63.33,25.0
463,24,11,63.33,29.17
464,24,12,63.33,33.33
465,24,13,63.33,37.5
466,24,14,63.33,41.67
467,24,15,63.33,45.83
468,24,16,63.33,50.0
469,24,17,63.33,54.17
470,24,18,63.33,58.33
471,24,19,63.33,62.5
472,24,20,63.33,66.67
473,24,21,63.33,70.83
474,24,22,63.33,75.0
475,24,23,63.33,79.17
476,24,24,63.33,83.33
477,24,25,63.33,87.5
478,24,26,63.33,91.67
479,24,27,63.33,95.83
480,25,4,66.67,0.0
481,25,5,66.67,4.17
482,25,6,66.67,8.33
483,25,7,66.67,12.5
484,25,8,66.67,16.67
485,25,9,66.67,20.83
486,25,10,66.67,25.0
487,25,11,66.67,29.17
488,25,12,66.67,33.33
489,25,13,66.67,37.5
490,25,14,66.67,41.67
491,25,15,66.67,45.83
492,25,16,66.67,50.0
493,25,17,66.67,54.17
494,25,18,66.67,58.33
495,25,19,66.67,62.5
496,25,20,66.67,66.67
497,25,21,66.67,70.83
498,25,22,66.67,75.0
499,25,23,66.67,79.17
500,25,24,66.67,83.33
501,25,25,66.67,87.5
502,25,26,66.67,91.67
503,25,27,66.67,95.83
504,26,4,70.0,0.0
505,26,5,70.0,4.17
506,26,6,70.0,8.33
507,26,7,70.0,12.5
508,26,8,70.0,16.67
509,26,9,70.0,20.83
510,26,10,70.0,25.0
511,26,11,70.0,29.17
512,26,12,70.0,33.33
513,26,13,70.0,37.5
514,26,14,70.0,41.67
515,26,15,70.0,45.83
516,26,16,70.0,50.0
517,26,17,70.0,54.17
518,26,18,70.0,58.33
519,26,19,70.0,62.5
520,26,20,70.0,66.67
521,26,21,70.0,70.83
522,26,22,70.0,75.0
523,26,23,70.0,79.17
524,26,24,70.0,83.33
525,26,25,70.0,87.5
526,26,26,70.0,91.67
527,26,27,70.0,95.83
528,27,4,73.33,0.0
529,27,5,73.33,4.17
530,27,6,73.33,8.33
531,27,7,73.33,12.5
532,27,8,73.33,16.67
533,27,9,73.33,20.83
534,27,10,73.33,25.0
535,27,11,73.33,29.17
536,27,12,73.33,33.33
537,27,13,73.33,37.5
538,27,14,73.33,41.67
539,27,15,73.33,45.83
540,27,16,73.33,50.0
541,27,17,73.33,54.17
542,27,18,73.33,58.33
543,27,19,73.33,62.5
544,27,20,73.33,66.67
545,27,21,73.33,70.83
546,27,22,73.33,75.0
547,27,23,73.33,79.17
548,27,24,73.33,83.33
549,27,25,73.33,87.5
550,27,26,73.33,91.67
551,27,27,73.33,95.83
552,28,4,76.67,0.0
553,28,5,76.67,4.17
554,28,6,76.67,8.33
555,28,7,76.67,12.5
556,28,8,76.67,16.67
557,28,9,76.67,20.83
558,28,10,76.67,25.0
559,28,11,76.67,29.17
560,28,12,76.67,33.33
561,28,13,76.67,37.5
562,28,14,76.67,41.67
563,28,15,76.67,45.83
564,28,16,76.67,50.0
565,28,17,76.67,54.17
566,28,18,76.67,58.33
567,28,19,76.67,62.5
568,28,20,76.67,66.67
569,28,21,76.67,70.83
570,28,22,76.67,75.0
571,28,23,76.67,79.17
572,28,24,76.67,83.33
573,28,25,76.67,87.5
574,28,26,76.67,91.67
575,28,27,76.67,95.83
576,29,4,80.0,0.0
577,29,5,80.0,4.17
578,29,6,80.0,8.33
579,29,7,80.0,12.5
580,29,8,80.0,16.67
581,29,9,80.0,20.83
582,29,10,80.0,25.0
583,29,11,80.0,29.17
584,29,12,80.0,33.33
585,29,13,80.0,37.5
586,29,14,80.0,41.67
587,29,15,80.0,45.83
588,29,16,80.0,50.0
589,29,17,80.0,54.17
590,29,18,80.0,58.33
591,29,19,80.0,62.5
592,29,20,80.0,66.67
593,29,21,80.0,70.83
594,29,22,80.0,75.0
595,29,23,80.0,79.17
596,29,24,80.0,83.33
597,29,25,80.0,87.5
598,29,26,80.0,91.67
599,29,27,80.0,95.83
600,30,4,83.33,0.0
601,30,5,83.33,4.17
602,30,6,83.33,8.33
603,30,7,83.33,12.5
604,30,8,83.33,16.67
605,30,9,83.33,20.83
606,30,10,83.33,25.0
607,30,11,83.33,29.17
608,30,12,83.33,33.33
609,30,13,83.33,37.5
610,30,14,83.33,41.67
611,30,15,83.33,45.83
612,30,16,83.33,50.0
613,30,17,83.33,54.17
614,30,18,83.33,58.33
615,30,19,83.33,62.5
616,30,20,83.33,66.67
617,30,21,83.33,70.83
618,30,22,83.33,75.0
619,30,23,83.33,79.17
620,30,24,83.33,83.33
621,30,25,83.33,87.5
622,30,26,83.33,91.67
623,30,27,83.33,95.83
624,31,4,86.67,0.0
625,31,5,86.67,4.17
626,31,6,86.67,8.33
627,31,7,86.67,12.5
628,31,8,86.67,16.67
629,31,9,86.67,20.83
630,31,10,86.67,25.0
631,31,11,86.67,29.17
632,31,12,86.67,33.33
633,31,13,86.67,37.5
634,31,14,86.67,41.67
635,31,15,86.67,45.83
636,31,16,86.67,50.0
637,31,17,86.67,54.17
638,31,18,86.67,58.33
639,31,19,86.67,62.5
640,31,20,86.67,66.67
641,31,21,86.67,70.83
642,31,22,86.67,75.0
643,31,23,86.67,79.17
644,31,24,86.67,83.33
645,31,25,86.67,87.5
646,31,26,86.67,91.67
647,31,27,86.67,95.83
648,32,4,90.0,0.0
649,32,5,90.0,4.17
650,32,6,90.0,8.33
651,32,7,90.0,12.5
652,32,8,90.0,16.67
653,32,9,90.0,20.83
654,32,10,90.0,25.0
655,32,11,90.0,29.17
656,32,12,90.0,33.33
657,32,13,90.0,37.5
658,32,14,90.0,41.67
659,32,15,90.0,45.83
660,32,16,90.0,50.0
661,32,17,90.0,54.17
662,32,18,90.0,58.33
663,32,19,90.0,62.5
664,32,20,90.0,66.67
665,32,21,90.0,70.83
666,32,22,90.0,75.0
667,32,23,90.0,79.17
668,32,24,90.0,83.33
669,32,25,90.0,87.5
670,32,26,90.0,91.67
671,32,27,90.0,95.83
672,33,4,93.33,0.0
673,33,5,93.33,4.17
674,33,6,93.33,8.33
675,33,7,93.33,12.5
676,33,8,93.33,16.67
677,33,9,93.33,20.83
678,33,10,93.33,25.0
679,33,11,93.33,29.17
680,33,12,93.33,33.33
681,33,13,93.33,37.5
682,33,14,93.33,41.67
683,33,15,93.33,45.83
684,33,16,93.33,50.0
685,33,17,93.33,54.17
686,33,18,93.33,58.33
687,33,19,93.33,62.5
688,33,20,93.33,66.67
689,33,21,93.33,70.83
690,33,22,93.33,75.0
691,33,23,93.33,79.17
692,33,24,93.33,83.33
693,33,25,93.33,87.5
694,33,26,93.33,91.67
695,33,27,93.33,95.83
696,34,4,96.67,0.0
697,34,5,96.67,4.17
698,34,6,96.67,8.33
699,34,7,96.67,12.5
700,34,8,96.67,16.67
701,34,9,96.67,20.83
702,34,10,96.67,25.0
703,34,11,96.67,29.17
704,34,12,96.67,33.33
705,34,13,96.67,37.5
706,34,14,96.67,41.67
707,34,15,96.67,45.83
708,34,16,96.67,50.0
709,34,17,96.67,54.17
710,34,18,96.67,58.33
711,34,19,96.67,62.5
712,34,20,96.67,66.67
713,34,21,96.67,70.83
714,34,22,96.67,75.0
